,abbreviation,season,avg_player_height,w
0,ATL,2020,198.71764705882353,20.0
1,ATL,2021,198.48285714285717,41.0
2,ATL,2022,198.96666666666667,43.0
3,BKN,2020,198.96666666666667,35.0
4,BKN,2021,198.12,48.0
5,BKN,2022,198.882,44.0
6,BOS,2020,200.09555555555553,48.0
7,BOS,2021,199.85181818181817,36.0
8,BOS,2022,200.8011111111111,51.0
9,CHA,2020,197.97058823529412,23.0
10,CHA,2021,200.06235294117647,33.0
11,CHA,2022,199.61411764705883,43.0
12,CHI,2020,199.31529411764706,22.0
13,CHI,2021,198.882,31.0
14,CHI,2022,198.86705882352942,46.0
15,CLE,2020,199.57142857142858,19.0
16,CLE,2021,198.92818181818183,22.0
17,CLE,2022,198.56823529411764,44.0
18,DAL,2020,200.66000000000003,43.0
19,DAL,2021,198.72476190476192,42.0
20,DAL,2022,197.63619047619045,52.0
21,DEN,2020,199.67222222222222,46.0
22,DEN,2021,196.977,47.0
23,DEN,2022,200.3425,48.0
24,DET,2020,198.41882352941175,20.0
25,DET,2021,197.612,20.0
26,DET,2022,199.45684210526315,23.0
27,GSW,2020,198.41882352941175,15.0
28,GSW,2021,196.37375,39.0
29,GSW,2022,196.92470588235295,53.0
30,HOU,2020,197.88909090909092,44.0
31,HOU,2021,196.5325,17.0
32,HOU,2022,200.49066666666667,20.0
33,IND,2020,198.78842105263158,45.0
34,IND,2021,196.08800000000002,34.0
35,IND,2022,198.12,25.0
36,LAC,2020,198.82555555555555,49.0
37,LAC,2021,199.39000000000001,47.0
38,LAC,2022,198.12,42.0
39,LAL,2020,200.66,52.0
40,LAL,2021,197.03142857142856,42.0
41,LAL,2022,198.4022222222222,33.0
42,MEM,2020,198.56823529411764,34.0
43,MEM,2021,199.04363636363635,38.0
44,MEM,2022,196.85000000000002,56.0
45,MIA,2020,200.36117647058822,44.0
46,MIA,2021,197.75714285714284,40.0
47,MIA,2022,199.46470588235294,53.0
48,MIL,2020,198.65473684210528,56.0
49,MIL,2021,198.11999999999998,46.0
50,MIL,2022,200.5188888888889,51.0
51,MIN,2020,197.96125,19.0
52,MIN,2021,197.3729411764706,23.0
53,MIN,2022,199.10777777777778,46.0
54,NOP,2020,199.10777777777778,30.0
55,NOP,2021,197.41444444444446,31.0
56,NOP,2022,199.7075,36.0
57,NYK,2020,198.59625,21.0
58,NYK,2021,197.5152380952381,41.0
59,NYK,2022,197.96125,37.0
60,OKC,2020,199.10777777777778,44.0
61,OKC,2021,199.78076923076924,22.0
62,OKC,2022,200.025,24.0
63,ORL,2020,196.50363636363636,33.0
64,ORL,2021,200.05523809523808,21.0
65,ORL,2022,202.15411764705883,22.0
66,PHI,2020,199.20857142857145,43.0
67,PHI,2021,199.59052631578948,49.0
68,PHI,2022,198.96666666666667,51.0
69,PHX,2020,197.00875,34.0
70,PHX,2021,198.23545454545456,51.0
71,PHX,2022,198.4375,64.0
72,POR,2020,198.62800000000001,35.0
73,POR,2021,196.63833333333332,42.0
74,POR,2022,199.3295238095238,27.0
75,SAC,2020,199.85789473684213,31.0
76,SAC,2021,200.279,31.0
77,SAC,2022,199.898,30.0
78,SAS,2020,198.56823529411764,32.0
79,SAS,2021,198.54333333333335,33.0
80,SAS,2022,199.57142857142858,34.0
81,TOR,2020,199.2488888888889,53.0
82,TOR,2021,199.77100000000002,27.0
83,TOR,2022,200.09555555555553,48.0
84,UTA,2020,198.26941176470586,44.0
85,UTA,2021,198.755,52.0
86,UTA,2022,201.29500000000002,49.0
87,WAS,2020,200.09555555555553,25.0
88,WAS,2021,198.00956521739133,34.0
89,WAS,2022,199.517,35.0
