,abbreviation,w,season
0,ATL,43.0,2022
1,BOS,51.0,2022
2,BKN,44.0,2022
3,CHI,46.0,2022
4,CHA,43.0,2022
5,CLE,44.0,2022
6,DAL,52.0,2022
7,DEN,48.0,2022
8,DET,23.0,2022
9,GSW,53.0,2022
10,HOU,20.0,2022
11,IND,25.0,2022
12,LAC,42.0,2022
13,LAL,33.0,2022
14,MEM,56.0,2022
15,MIA,53.0,2022
16,MIL,51.0,2022
17,MIN,46.0,2022
18,NOP,36.0,2022
19,NYK,37.0,2022
20,OKC,24.0,2022
21,ORL,22.0,2022
22,PHI,51.0,2022
23,PHX,64.0,2022
24,POR,27.0,2022
25,SAC,30.0,2022
26,SAS,34.0,2022
27,TOR,48.0,2022
28,UTA,49.0,2022
29,WAS,35.0,2022
31,ATL,41.0,2021
32,BOS,36.0,2021
33,BKN,48.0,2021
34,CHI,31.0,2021
35,CHA,33.0,2021
36,CLE,22.0,2021
37,DAL,42.0,2021
38,DEN,47.0,2021
39,DET,20.0,2021
40,GSW,39.0,2021
41,HOU,17.0,2021
42,IND,34.0,2021
43,LAC,47.0,2021
44,LAL,42.0,2021
45,MEM,38.0,2021
46,MIA,40.0,2021
47,MIL,46.0,2021
48,MIN,23.0,2021
49,NOP,31.0,2021
50,NYK,41.0,2021
51,OKC,22.0,2021
52,ORL,21.0,2021
53,PHI,49.0,2021
54,PHX,51.0,2021
55,POR,42.0,2021
56,SAC,31.0,2021
57,SAS,33.0,2021
58,TOR,27.0,2021
59,UTA,52.0,2021
60,WAS,34.0,2021
62,ATL,20.0,2020
63,BOS,48.0,2020
64,BKN,35.0,2020
65,CHI,22.0,2020
66,CHA,23.0,2020
67,CLE,19.0,2020
68,DAL,43.0,2020
69,DEN,46.0,2020
70,DET,20.0,2020
71,GSW,15.0,2020
72,HOU,44.0,2020
73,IND,45.0,2020
74,LAC,49.0,2020
75,LAL,52.0,2020
76,MEM,34.0,2020
77,MIA,44.0,2020
78,MIL,56.0,2020
79,MIN,19.0,2020
80,NOP,30.0,2020
81,NYK,21.0,2020
82,OKC,44.0,2020
83,ORL,33.0,2020
84,PHI,43.0,2020
85,PHX,34.0,2020
86,POR,35.0,2020
87,SAC,31.0,2020
88,SAS,32.0,2020
89,TOR,53.0,2020
90,UTA,44.0,2020
91,WAS,25.0,2020
